# howmany : 5
# loop : 3
# distribution : clustered
# Big : 22
# intersectionratio : 0.3
# MaxBit : 26
# size-ratio	@hybriddan	branchless	danfar	danfarfar	danfarmov	f2p0	f4p0	f8p0	hssimd	hssimddan	natemediumdanalt	scalar1sgalloping	scalarbranchless	scalarbranchlesscached	scalarbranchlesscached2	scalarbranchlessunrolled	scalardanbranchless	scalarnate	scalarnatewg	simdgalloping	simdgalloping2	thomas_gallop	thomas_scalar	thomas_simdgallop_v0	thomas_simdgallop_v1	thomas_simdgallop_v2	thomas_simdgallop_v3	thomas_v1	thomas_v1_plow	thomas_v2	thomas_v3	thomas_v3_aligned	v1	v3	widevector	widevectorleo	relative-intersection-size 
#generating data...ok.
1.001	    990.45	    438.03	    464.16	     442.4	    463.37	    991.06	     998.3	     783.6	    1066.5	    1135.3	    527.17	     388.7	    278.78	    430.61	    438.57	    276.69	    438.18	    434.95	    441.22	     435.3	    474.08	    284.21	    328.98	     204.6	    204.88	    158.27	    155.49	    249.05	     248.8	    188.73	    185.11	    243.47	    990.82	    442.54	    976.53	    1103.7			0.34884
#generating data...ok.
1.3798	    1024.4	    427.53	    584.81	    552.03	    587.75	      1025	      1092	    893.83	    1034.8	    1077.9	    653.41	    362.24	    269.65	    424.13	    428.98	    266.47	    427.74	     411.6	    419.61	    541.67	       596	    286.96	    328.09	    217.33	    223.85	    176.02	     174.5	    268.44	    264.31	    207.94	     203.8	    247.84	    1024.3	     552.3	    955.56	    1092.6			0.32896
#generating data...ok.
1.9019	    1097.9	    429.83	    626.36	     597.3	    625.05	    1098.8	    1204.4	    1035.2	    1120.9	    1135.7	     678.9	    376.84	    262.49	    417.55	    422.96	     260.7	    429.82	     440.6	     444.6	    587.51	    630.48	    307.21	    350.76	    240.76	     250.5	    203.04	    202.25	    293.87	    286.51	    236.72	    233.42	    270.03	    1098.9	    597.32	    958.63	      1108			0.34597
#generating data...ok.
2.6216	    1293.8	    640.14	    880.69	       832	     886.9	    1294.5	    1368.3	    1201.9	    1242.7	    1277.1	    958.96	    542.63	    304.91	    533.24	    536.93	    302.96	    640.36	    663.85	    679.38	    815.51	     882.7	    414.48	     522.1	    337.24	    352.85	    285.07	    281.41	    426.33	    409.21	    338.66	    334.11	    395.23	    1295.5	    830.23	    969.71	      1139			0.32307
#generating data...ok.
3.6136	    1256.5	    554.73	    1040.3	    984.84	    1050.4	    1258.2	    1462.1	    1423.6	    1207.4	    1201.5	    1065.6	     467.4	    283.25	    483.46	    491.42	    282.04	    554.98	    580.95	    588.65	    962.99	    1038.2	    388.85	    479.19	     348.1	    382.41	    327.65	    326.81	    434.91	    409.58	    374.19	    370.57	    374.25	    1257.5	    982.22	    946.22	    1116.8			0.33031
#generating data...ok.
