# howmany : 5
# loop : 3
# distribution : clustered
# Big : 22
# intersectionratio : 0.3
# MaxBit : 26
# size-ratio	@hybriddan	branchless	danfar	danfarfar	danfarmov	f2p0	f4p0	f8p0	hssimd	hssimddan	natemediumdanalt	scalar1sgalloping	scalarbranchless	scalarbranchlesscached	scalarbranchlesscached2	scalarbranchlessunrolled	scalardanbranchless	scalarnate	scalarnatewg	simdgalloping	simdgalloping2	thomas_gallop	thomas_scalar	thomas_simdgallop_v0	thomas_simdgallop_v1	thomas_simdgallop_v2	thomas_simdgallop_v3	thomas_v1	thomas_v1_plow	thomas_v2	thomas_v3	thomas_v3_aligned	thomas_v3cmpeqflagged	v1	v3	widevector	widevectorleo	relative-intersection-size 
#generating data...ok.
1.001	    984.39	    388.36	    420.99	    403.03	    418.71	    985.11	    1001.8	     773.9	    1019.3	    1093.1	    473.79	    347.27	     259.6	    390.82	    400.61	    257.98	     388.1	    369.84	    373.96	     396.1	    429.05	    265.14	    315.94	    188.92	     188.7	    149.29	    146.33	    224.35	    227.07	    174.35	    171.32	    228.61	    287.44	    983.99	     403.3	     950.9	    1085.7			0.3362
#generating data...ok.
1.3798	      1043	     406.2	    508.19	    485.58	    506.38	      1043	    1101.9	    885.06	      1053	    1099.2	    562.21	    362.62	    259.98	    402.83	    408.62	    258.55	    406.14	    397.27	    401.05	    478.57	    517.06	    286.65	    341.03	    214.89	    218.12	    174.86	     171.5	    257.36	    257.34	    202.45	    199.48	       251	    343.47	    1042.8	    484.84	     944.7	    1092.4			0.33065
#generating data...ok.
1.9019	    1059.5	    415.22	    557.28	    534.93	       554	    1060.4	    1207.5	    1031.6	    1068.5	    1077.2	    597.91	    346.78	    258.59	    406.79	    415.73	    256.33	    415.27	    402.41	    406.27	    525.38	    563.33	    282.41	    340.76	    234.08	    244.03	    200.42	    198.09	    279.13	    273.27	    226.87	    224.93	    255.99	    390.15	    1059.6	    534.71	    930.69	    1083.4			0.34479
#generating data...ok.
2.6216	    1300.8	     461.9	    670.41	    646.39	    666.92	    1296.1	    1407.7	      1190	    1212.6	    1233.1	    727.41	    412.31	    262.25	    428.14	    432.23	    262.69	    461.73	    474.44	       473	    635.86	    675.99	    354.55	    403.34	    271.78	     279.3	    234.85	    232.53	    325.04	    320.44	    268.64	    266.65	     313.3	    478.36	    1299.7	    646.82	    953.29	    1132.4			0.32439
#generating data...ok.
3.6136	    1235.4	    547.05	    933.09	       889	    930.74	    1235.7	    1478.7	      1412	    1216.4	    1206.5	    954.32	    449.71	    281.27	    478.29	    485.23	    279.71	    547.61	    567.11	     571.6	    868.25	     924.3	    382.38	     471.7	    335.81	     368.2	    320.45	    317.82	    411.11	    389.95	    359.43	    357.64	     366.9	    643.41	    1236.1	    890.27	    934.08	    1112.8			0.34676
#generating data...ok.
4.981	    1279.2	    579.17	    969.57	    926.76	     961.3	    1281.6	    1619.1	    1652.4	    1224.2	    1196.8	    970.13	     449.8	    284.01	    494.51	    502.85	    282.19	       579	    582.89	    587.01	    910.08	    946.21	    383.01	    487.81	    368.83	    411.15	    373.33	    371.84	    447.07	    419.19	    407.53	    409.45	    384.27	    718.32	    1283.3	    927.64	    926.11	    1112.8			0.34824
#generating data...ok.
6.8659	    1654.8	    721.14	    1276.2	    1229.2	    1271.1	    1666.7	    1989.4	    1947.7	      1343	    1321.4	    1271.5	    614.83	     302.2	    554.48	    560.81	    301.05	    720.86	    782.42	    786.07	    1206.8	    1247.1	    518.55	    654.45	    491.83	    545.12	    489.55	    492.05	    618.44	    571.37	    543.47	    546.67	    531.57	    944.53	    1668.7	      1230	     938.9	    1140.9			0.34008
#generating data...ok.
9.4639	    1854.6	    884.78	      1494	    1450.8	    1485.8	    1851.9	    2047.9	    2176.3	    1450.5	    1432.3	    1465.5	    756.61	    317.62	    607.85	    614.19	    317.44	    884.64	    1007.2	    1014.9	    1425.2	    1429.8	    634.55	    818.41	    595.42	    652.11	     647.8	    645.04	     754.2	    711.31	     717.4	    728.35	    706.68	      1163	    1859.3	    1450.7	     949.1	    1169.9			0.32946
#generating data...ok.
